Parcel_ID,O_zone,D_zone,CEP,Network,Type
91215,2668,2292,PostNL,conventional,tour-based
91228,2447,2668,PostNL,conventional,tour-based
91228,2668,2292,PostNL,conventional,tour-based
91241,4095,4178,PostNL,conventional,tour-based
91241,4178,2668,PostNL,conventional,consolidated
91241,2668,2292,PostNL,conventional,tour-based
91250,2376,2668,PostNL,conventional,tour-based
91250,2668,2292,PostNL,conventional,tour-based
91264,6464,3362,UPS,conventional,tour-based
91264,3362,4604,UPS,conventional,consolidated
91264,4604,2292,DPD,conventional,tour-based
91268,1565,1044,DHL,conventional,tour-based
91268,1044,2662,DHL,conventional,consolidated
91268,2662,2293,DHL,conventional,tour-based
91286,2311,4604,DPD,conventional,tour-based
91286,4604,2293,DPD,conventional,tour-based
91306,7010,6955,PostNL,conventional,tour-based
91306,6955,2668,PostNL,conventional,consolidated
91306,2668,2293,PostNL,conventional,tour-based
91332,7063,7399,PostNL,conventional,tour-based
91332,7399,2668,PostNL,conventional,consolidated
91332,2668,2293,PostNL,conventional,tour-based
91338,5926,6955,PostNL,conventional,tour-based
91338,6955,2668,PostNL,conventional,consolidated
91338,2668,2293,PostNL,conventional,tour-based
91345,2261,4604,DPD,conventional,tour-based
91345,4604,2293,DPD,conventional,tour-based
91375,5773,5514,GLS,conventional,tour-based
91375,5514,4604,GLS,conventional,consolidated
91375,4604,2294,DPD,conventional,tour-based
91384,7247,4604,DPD,conventional,tour-based
91384,4604,2294,DPD,conventional,tour-based
91411,2385,2668,PostNL,conventional,tour-based
91411,2668,2294,PostNL,conventional,tour-based
91428,3993,4178,PostNL,conventional,tour-based
91428,4178,2668,PostNL,conventional,consolidated
91428,2668,2294,PostNL,conventional,tour-based
91460,2292,4604,DPD,conventional,tour-based
91460,4604,2294,DPD,conventional,tour-based
91462,7279,4604,DPD,conventional,tour-based
91462,4604,2294,DPD,conventional,tour-based
91479,2369,2662,DHL,conventional,tour-based
91479,2662,1044,DHL,conventional,consolidated
91479,1044,2295,DHL,conventional,tour-based
91489,2433,2662,DHL,conventional,tour-based
91489,2662,1044,DHL,conventional,consolidated
91489,1044,2295,DHL,conventional,tour-based
91491,2375,2662,DHL,conventional,tour-based
91491,2662,1044,DHL,conventional,consolidated
91491,1044,2295,DHL,conventional,tour-based
91516,2336,4604,DPD,conventional,tour-based
91516,4604,2295,DPD,conventional,tour-based
91518,2421,4604,DPD,conventional,tour-based
91518,4604,2295,DPD,conventional,tour-based
91530,2516,2668,PostNL,conventional,tour-based
91530,2668,2295,PostNL,conventional,tour-based
91535,6929,6955,PostNL,conventional,tour-based
91535,6955,2668,PostNL,conventional,consolidated
91535,2668,2295,PostNL,conventional,tour-based
91544,2303,2668,PostNL,conventional,tour-based
91544,2668,2295,PostNL,conventional,tour-based
91548,202,2668,PostNL,conventional,tour-based
91548,2668,2295,PostNL,conventional,tour-based
91558,7022,6955,PostNL,conventional,tour-based
91558,6955,2668,PostNL,conventional,consolidated
91558,2668,2295,PostNL,conventional,tour-based
91559,2389,2668,PostNL,conventional,tour-based
91559,2668,2295,PostNL,conventional,tour-based
91580,2441,2668,PostNL,conventional,tour-based
91580,2668,2295,PostNL,conventional,tour-based
91615,7392,5501,DHL,conventional,tour-based
91615,5501,2662,DHL,conventional,consolidated
91615,2662,2296,DHL,conventional,tour-based
91658,5803,5501,DHL,conventional,tour-based
91658,5501,2662,DHL,conventional,consolidated
91658,2662,2296,DHL,conventional,tour-based
91664,6712,6767,DHL,conventional,tour-based
91664,6767,2662,DHL,conventional,consolidated
91664,2662,2296,DHL,conventional,tour-based
91676,3971,5501,DHL,conventional,tour-based
91676,5501,2662,DHL,conventional,consolidated
91676,2662,2296,DHL,conventional,tour-based
91677,2356,2662,DHL,conventional,tour-based
91677,2662,2296,DHL,conventional,tour-based
91721,2503,4604,DPD,conventional,tour-based
91721,4604,2296,DPD,conventional,tour-based
91734,2297,4604,DPD,conventional,tour-based
91734,4604,2296,DPD,conventional,tour-based
91750,2385,2668,PostNL,conventional,tour-based
91750,2668,2296,PostNL,conventional,tour-based
91815,2449,2668,PostNL,conventional,tour-based
91815,2668,2296,PostNL,conventional,tour-based
